TIME,WEIGHT,POROSITY
9.72536855905e-07,1.5305,10.2870345487
0.186963726969,1.5305,10.2870345487
0.374003635991,1.5305,10.2870345487
0.560066469652,1.5305,10.2870345487
0.746984811568,1.5305,10.2870345487
0.934016616116,1.5306,10.2877066843
1.12097061772,1.5306,10.2877066843
1.30714626565,1.5306,10.2877066843
1.49409605293,1.5307,10.2883788198
1.68100953216,1.5307,10.2883788198
1.86853927558,1.5307,10.2883788198
2.05497329414,1.5307,10.2883788198
2.24198078527,1.5306,10.2877066843
2.42806242131,1.5306,10.2877066843
2.61501123604,1.5306,10.2877066843
2.80200608419,1.5306,10.2877066843
2.98894841535,1.5306,10.2877066843
3.17514318984,1.5306,10.2877066843
3.3620916804,1.5306,10.2877066843
3.54905378647,1.5306,10.2877066843
3.73598704062,1.5306,10.2877066843
3.92296697654,1.5306,10.2877066843
4.10911312419,1.5306,10.2877066843
4.29605804878,1.5307,10.2883788198
4.48301658889,1.5307,10.2883788198
4.66994206274,1.5307,10.2883788198
4.85696187267,1.5307,10.2883788198
5.04310348181,1.5307,10.2883788198
5.23005326909,1.5307,10.2883788198
5.41703255664,1.5307,10.2883788198
5.60398915168,1.5306,10.2877066843
5.79011131008,1.5306,10.2877066843
5.97698588784,1.5304,10.2863624132
6.16402061,1.5304,10.2863624132
6.35093408923,1.5303,10.2856902776
6.53709287986,1.5303,10.2856902776
6.72399274358,1.5303,10.2856902776
6.91103103171,1.5303,10.2856902776
7.09796914854,1.5303,10.2856902776
7.28409454874,1.5303,10.2856902776
7.47108842435,1.5303,10.2856902776
7.65801973342,1.5303,10.2856902776
7.84500550456,1.5303,10.2856902776
8.03111858596,1.5303,10.2856902776
8.21808101621,1.5303,10.2856902776
8.40497374799,1.5303,10.2856902776
8.59197540389,1.5303,10.2856902776
8.77808135336,1.5303,10.2856902776
8.96506161345,1.5303,10.2856902776
9.15201140073,1.5303,10.2856902776
9.33897383098,1.5303,10.2856902776
9.52509761028,1.5303,10.2856902776
9.71200719937,1.5303,10.2856902776
9.89898389349,1.5303,10.2856902776
10.0859952748,1.5303,10.2856902776
10.2720846911,1.5303,10.2856902776
10.4590746766,1.5303,10.2856902776
10.6459982053,1.5303,10.2856902776
10.8329502619,1.5303,10.2856902776
11.0190977062,1.5303,10.2856902776
11.2060750487,1.5303,10.2856902776
11.3930355339,1.5304,10.2863624132
11.5799824036,1.5304,10.2863624132
11.7661048862,1.5304,10.2863624132
11.9529930794,1.5304,10.2863624132
12.1400397962,1.5305,10.2870345487
12.3269769405,1.5305,10.2870345487
12.5130945604,1.5305,10.2870345487
12.7001176121,1.5307,10.2883788198
12.8871912358,1.5307,10.2883788198
13.0739698565,1.5308,10.2890509554
13.2609705399,1.5309,10.2897230909
13.4470687091,1.5309,10.2897230909
13.634021414,1.5309,10.2897230909
13.8210353887,1.531,10.2903952264
14.0071011399,1.531,10.2903952264
14.1940674603,1.531,10.2903952264
14.3810545282,1.531,10.2903952264
14.5679819471,1.531,10.2903952264
14.7541099408,1.531,10.2903952264
14.9410762612,1.5309,10.2897230909
15.1280620323,1.5309,10.2897230909
15.3149651378,1.5309,10.2897230909
15.501969063,1.5309,10.2897230909
15.6880892763,1.5309,10.2897230909
15.8750799101,1.5309,10.2897230909
16.0620455822,1.5308,10.2890509554
16.248961979,1.5308,10.2890509554
16.4350964562,1.5308,10.2890509554
16.6220747712,1.5307,10.2883788198
16.8089918164,1.5307,10.2883788198
16.9959471147,1.5307,10.2883788198
17.1820203221,1.5307,10.2883788198
17.369020033,1.5307,10.2883788198
17.555951342,1.5307,10.2883788198
17.7429805532,1.5307,10.2883788198
17.9291558769,1.5305,10.2870345487
18.1160103556,1.5305,10.2870345487
18.3030392425,1.5304,10.2863624132
18.4899653647,1.5304,10.2863624132
18.6760988694,1.5303,10.2856902776
18.8630775086,1.5303,10.2856902776
19.0500169221,1.5302,10.2850181421
19.2361377838,1.5302,10.2850181421
19.4230541807,1.5301,10.2843460065
19.6100175835,1.5301,10.2843460065
19.7960966261,1.5299,10.2830017354
19.9830441441,1.5299,10.2830017354
20.1700655749,1.5299,10.2830017354
20.357042269,1.5298,10.2823295999
20.5439748748,1.5298,10.2823295999
20.7300921706,1.5298,10.2823295999
20.9170636778,1.5298,10.2823295999
21.1040335642,1.5298,10.2823295999
21.2909544995,1.5298,10.2823295999
21.4771025923,1.5297,10.2816574643
21.6640630774,1.5297,10.2816574643
21.8510290737,1.5297,10.2816574643
22.0379684872,1.5297,10.2816574643
22.2241230635,1.5297,10.2816574643
22.4110585869,1.5297,10.2816574643
22.5980138852,1.5297,10.2816574643
22.7849827991,1.5297,10.2816574643
22.9710864793,1.5297,10.2816574643
23.1580395083,1.5297,10.2816574643
23.3450048562,1.5297,10.2816574643
23.5319799294,1.5297,10.2816574643
23.7189689424,1.5297,10.2816574643
23.9050972602,1.5297,10.2816574643
24.0920240307,1.5298,10.2823295999
24.2789692795,1.5298,10.2823295999
24.4650907896,1.53,10.283673871
24.652044467,1.53,10.283673871
24.8390289414,1.53,10.283673871
25.0259667341,1.53,10.283673871
25.2121342775,1.53,10.283673871
25.3990672075,1.5301,10.2843460065
25.5860332037,1.5301,10.2843460065
25.7729910955,1.5301,10.2843460065
25.959113578,1.5302,10.2850181421
26.146059151,1.5302,10.2850181421
26.3330186636,1.5302,10.2850181421
26.5200566276,1.5303,10.2856902776
26.7061350218,1.5303,10.2856902776
26.8930569297,1.5304,10.2863624132
27.0800336238,1.5304,10.2863624132
27.2669419162,1.5305,10.2870345487
27.4530981134,1.5305,10.2870345487
27.6400550326,1.5305,10.2870345487
27.8270586336,1.5305,10.2870345487
28.0139763272,1.5305,10.2870345487
28.2001056175,1.5307,10.2883788198
28.3870609158,1.5307,10.2883788198
28.5740781323,1.5307,10.2883788198
28.7609750784,1.5307,10.2883788198
28.947954366,1.5307,10.2883788198
29.1340538319,1.5307,10.2883788198
29.3210279326,1.5307,10.2883788198
29.5080350995,1.5307,10.2883788198
29.6949813208,1.5308,10.2890509554
29.8810645777,1.5308,10.2890509554
30.0680882778,1.5308,10.2890509554
30.2549625314,1.5308,10.2890509554
30.4411073823,1.5308,10.2890509554
30.6281119558,1.5308,10.2890509554
30.8150552595,1.5308,10.2890509554
31.001987217,1.5308,10.2890509554
31.1889742848,1.5308,10.2890509554
31.3751009817,1.5308,10.2890509554
31.5620744341,1.5308,10.2890509554
31.7489840232,1.5307,10.2883788198
31.936005454,1.5307,10.2883788198
32.1220549963,1.5307,10.2883788198
32.3090336355,1.5307,10.2883788198
32.4960077362,1.5307,10.2883788198
32.682974705,1.5307,10.2883788198
32.8690586103,1.5305,10.2870345487
33.0560891181,1.5305,10.2870345487
33.2429695311,1.5305,10.2870345487
33.4299935553,1.5305,10.2870345487
33.6161131203,1.5305,10.2870345487
33.8030321106,1.5305,10.2870345487
33.9900357116,1.5305,10.2870345487
34.1769777185,1.5305,10.2870345487
34.3630418489,1.5305,10.2870345487
34.5500587412,1.5305,10.2870345487
34.7370137154,1.5305,10.2870345487
34.9239803599,1.5305,10.2870345487
35.1100665345,1.5305,10.2870345487
35.2971135754,1.5305,10.2870345487
35.4840218678,1.5305,10.2870345487
35.670994996,1.5305,10.2870345487
35.8571061323,1.5305,10.2870345487
36.0440552712,1.5305,10.2870345487
36.2310452567,1.5305,10.2870345487
36.4179652195,1.5305,10.2870345487
36.60412012,1.5305,10.2870345487
36.7910199837,1.5305,10.2870345487
36.9780177494,1.5305,10.2870345487
37.1650054657,1.5305,10.2870345487
37.3510637608,1.5305,10.2870345487
37.5380680102,1.5305,10.2870345487
37.7250314129,1.5305,10.2870345487
37.9119656396,1.5305,10.2870345487
38.0981082213,1.5306,10.2877066843
38.2850473107,1.5306,10.2877066843
38.4720194663,1.5306,10.2877066843
38.6589601766,1.5306,10.2877066843
38.8450602908,1.5306,10.2877066843
39.0320518972,1.5306,10.2877066843
39.2190146516,1.5306,10.2877066843
39.4059806478,1.5306,10.2877066843
39.5920817346,1.5306,10.2877066843
39.7790581045,1.5306,10.2877066843
39.9660205348,1.5308,10.2890509554
40.1529706462,1.5308,10.2890509554
40.3390412602,1.5308,10.2890509554
40.5260912188,1.5308,10.2890509554
40.7130435995,1.5308,10.2890509554
40.8999791229,1.5308,10.2890509554
41.0860824789,1.5308,10.2890509554
41.2730782996,1.5308,10.2890509554
41.4599904821,1.5308,10.2890509554
41.6469785225,1.5308,10.2890509554
41.83312078,1.5308,10.2890509554
42.0200725123,1.5308,10.2890509554
42.2070378602,1.5308,10.2890509554
42.3939675484,1.5308,10.2890509554
42.580117262,1.5308,10.2890509554
42.7670125872,1.5308,10.2890509554
42.9539782593,1.5308,10.2890509554
43.1409539809,1.5308,10.2890509554
43.3270440455,1.5308,10.2890509554
43.5140696907,1.5308,10.2890509554
43.7010133186,1.5308,10.2890509554
43.8879793148,1.5308,10.2890509554
44.0741079568,1.5308,10.2890509554
44.2609899907,1.5308,10.2890509554
44.4479828937,1.5308,10.2890509554
44.6349770935,1.5308,10.2890509554
44.8211141642,1.5308,10.2890509554
45.008070435,1.5308,10.2890509554
45.1950244366,1.5308,10.2890509554
45.3819683887,1.5308,10.2890509554
45.5681242617,1.5308,10.2890509554
45.7550743731,1.5308,10.2890509554
45.9419761819,1.5308,10.2890509554
46.1289373155,1.5308,10.2890509554
46.3150400231,1.5308,10.2890509554
46.5020779871,1.5308,10.2890509554
46.6890280985,1.5308,10.2890509554
46.8759668637,1.5308,10.2890509554
47.0629811626,1.5308,10.2890509554
47.249029084,1.5308,10.2890509554
47.436036251,1.5308,10.2890509554
47.6230262365,1.5308,10.2890509554
47.8090738337,1.5308,10.2890509554
47.9960654401,1.5308,10.2890509554
48.1830281945,1.5308,10.2890509554
48.3700658343,1.5307,10.2883788198
48.5561017611,1.5307,10.2883788198
48.7430573836,1.5307,10.2883788198
48.9300143028,1.5307,10.2883788198
49.1169822441,1.5307,10.2883788198
49.3031108861,1.5306,10.2877066843
49.4900062113,1.5306,10.2877066843
49.6770299113,1.5306,10.2877066843
49.8639796986,1.5306,10.2877066843
50.0509888106,1.5305,10.2870345487
50.2370672049,1.5305,10.2870345487
50.424038388,1.5305,10.2870345487
50.6110520385,1.5305,10.2870345487
50.7970993116,1.5305,10.2870345487
50.9840785991,1.5305,10.2870345487
51.1710115291,1.5304,10.2863624132
51.357969745,1.5304,10.2863624132
51.544105519,1.5304,10.2863624132
51.731076702,1.5304,10.2863624132
51.918036863,1.5304,10.2863624132
52.1049895679,1.5304,10.2863624132
52.29193352,1.5304,10.2863624132
52.4780932831,1.5303,10.2856902776
52.6650732191,1.5303,10.2856902776
52.8519999896,1.5303,10.2856902776
53.0389721452,1.5303,10.2856902776
53.2250544296,1.5303,10.2856902776
53.4120635417,1.5303,10.2856902776
53.5990272686,1.5303,10.2856902776
53.7859747867,1.5303,10.2856902776
53.9721115331,1.5303,10.2856902776
54.1590979526,1.5303,10.2856902776
54.3459702611,1.5303,10.2856902776
54.5329693236,1.5303,10.2856902776
54.7191161196,1.5303,10.2856902776
54.9060610442,1.5303,10.2856902776
55.0930302822,1.5303,10.2856902776
55.2799703441,1.5303,10.2856902776
55.4660655957,1.5303,10.2856902776
55.6530685483,1.5303,10.2856902776
55.8399729505,1.5303,10.2856902776
56.0269509414,1.5303,10.2856902776
56.2131149188,1.5303,10.2856902776
56.399999222,1.5303,10.2856902776
56.5870258397,1.5303,10.2856902776
56.7739821105,1.5303,10.2856902776
56.9600540212,1.5303,10.2856902776
57.1470375231,1.5302,10.2850181421
57.3339746674,1.5302,10.2850181421
57.5209837794,1.5302,10.2850181421
57.7071292787,1.5302,10.2850181421
57.8940190928,1.5302,10.2850181421
58.0810340401,1.5302,10.2850181421
58.2679835032,1.5302,10.2850181421
58.4540239685,1.5302,10.2850181421
58.6410619324,1.5301,10.2843460065
58.8280739621,1.5301,10.2843460065
59.0150065679,1.5301,10.2843460065
59.2010836654,1.5301,10.2843460065
59.3880927774,1.5301,10.2843460065
59.5749689761,1.5301,10.2843460065
59.7619803573,1.5301,10.2843460065
59.9489930353,1.5301,10.2843460065
60.1350934738,1.5301,10.2843460065
60.3220293213,1.5301,10.2843460065
60.5089927241,1.5301,10.2843460065
60.6951291464,1.5301,10.2843460065
60.8821716489,1.5301,10.2843460065
61.0689846326,1.5301,10.2843460065
61.2559736455,1.5301,10.2843460065
61.4421175239,1.5301,10.2843460065
61.6291084819,1.5301,10.2843460065
61.816043357,1.5301,10.2843460065
62.0029869849,1.5301,10.2843460065
62.1899931793,1.5301,10.2843460065
62.3760660625,1.5301,10.2843460065
62.5630323829,1.5301,10.2843460065
62.7500145881,1.5301,10.2843460065
62.9361143781,1.5301,10.2843460065
63.1230547642,1.5301,10.2843460065
63.3100547992,1.5301,10.2843460065
63.4969400749,1.5301,10.2843460065
63.6831089151,1.5301,10.2843460065
63.8700632408,1.5301,10.2843460065
64.0569974675,1.5301,10.2843460065
64.2439469306,1.5302,10.2850181421
64.4301290621,1.5302,10.2850181421
64.617060047,1.5303,10.2856902776
64.8040555435,1.5303,10.2856902776
64.9909787481,1.5304,10.2863624132
65.177109011,1.5304,10.2863624132
65.3640947821,1.5305,10.2870345487
65.5510555915,1.5305,10.2870345487
65.7379710158,1.5307,10.2883788198
65.9240610805,1.5307,10.2883788198
66.1111019621,1.5308,10.2890509554
66.2980955135,1.5308,10.2890509554
66.484951613,1.5308,10.2890509554
66.6711642174,1.5308,10.2890509554
66.8580225862,1.5308,10.2890509554
67.0450141926,1.5308,10.2890509554
67.2319720843,1.5308,10.2890509554
67.4189630423,1.5308,10.2890509554
67.605102058,1.531,10.2903952264
67.792018779,1.531,10.2903952264
67.9790204349,1.531,10.2903952264
68.1659903213,1.531,10.2903952264
68.3520593144,1.531,10.2903952264
68.5390123434,1.531,10.2903952264
68.726031505,1.531,10.2903952264
68.9129835615,1.531,10.2903952264
69.0990013343,1.5308,10.2890509554
69.2860597215,1.5308,10.2890509554
69.4729988109,1.5307,10.2883788198
69.6599787468,1.5307,10.2883788198
69.8460710808,1.5306,10.2877066843
70.0330351319,1.5306,10.2877066843
70.2199518529,1.5306,10.2877066843
70.4069800915,1.5306,10.2877066843
70.5930746947,1.5306,10.2877066843
70.7799891465,1.5306,10.2877066843
70.9670510997,1.5306,10.2877066843
71.1539308643,1.5306,10.2877066843
71.3400371379,1.5306,10.2877066843
71.5270793162,1.5306,10.2877066843
71.7139701029,1.5306,10.2877066843
71.9009805117,1.5306,10.2877066843
72.0871110987,1.5306,10.2877066843
72.2740845511,1.5306,10.2877066843
72.4609695025,1.5305,10.2870345487
72.6479212349,1.5305,10.2870345487
72.8341241139,1.5305,10.2870345487
73.0210748737,1.5305,10.2870345487
73.2080279027,1.5305,10.2870345487
73.3949731515,1.5305,10.2870345487
73.5811215684,1.5305,10.2870345487
73.768072004,1.5305,10.2870345487
73.9550415662,1.5304,10.2863624132
74.1420270132,1.5304,10.2863624132
74.3280823907,1.5304,10.2863624132
74.5150506562,1.5304,10.2863624132
74.7020211909,1.5303,10.2856902776
74.8889787585,1.5303,10.2856902776
75.0751326864,1.5303,10.2856902776
75.2620834463,1.5302,10.2850181421
75.4489946562,1.5302,10.2850181421
75.6359989056,1.5302,10.2850181421
75.8221142562,1.5302,10.2850181421
76.0090672853,1.5302,10.2850181421
76.196019666,1.5302,10.2850181421
76.3830838884,1.5302,10.2850181421
76.5690390947,1.5302,10.2850181421
76.756061498,1.5302,10.2850181421
76.9430249008,1.5302,10.2850181421
77.1299575066,1.5302,10.2850181421
77.316104951,1.5303,10.2856902776
77.5030576559,1.5303,10.2856902776
77.6900460204,1.5303,10.2856902776
77.8769760328,1.5303,10.2856902776
78.0630511853,1.5303,10.2856902776
78.2500518686,1.5303,10.2856902776
78.4370395848,1.5303,10.2856902776
78.6239802951,1.5302,10.2850181421
78.8100411837,1.5302,10.2850181421
78.9970674772,1.5302,10.2850181421
79.1840292591,1.5302,10.2850181421
79.3709842332,1.5302,10.2850181421
79.5570927761,1.5302,10.2850181421
79.7440678494,1.5302,10.2850181421
79.9310351423,1.5302,10.2850181421
80.1179849296,1.5302,10.2850181421
80.3040351203,1.5302,10.2850181421
80.4910805403,1.5302,10.2850181421
80.6780368112,1.5302,10.2850181421
80.8649451035,1.5302,10.2850181421
81.0510990315,1.5302,10.2850181421
81.2380676211,1.5302,10.2850181421
81.4249765619,1.5302,10.2850181421
81.6119837288,1.5302,10.2850181421
81.798134415,1.5302,10.2850181421
81.985103653,1.5302,10.2850181421
82.1720463083,1.5302,10.2850181421
82.3589743756,1.5302,10.2850181421
82.5459731139,1.5303,10.2856902776
82.7320871678,1.5303,10.2856902776
82.9190557575,1.5303,10.2856902776
83.1060185119,1.5303,10.2856902776
83.2920641641,1.5304,10.2863624132
83.4790813806,1.5304,10.2863624132
83.6659857828,1.5304,10.2863624132
83.8529955432,1.5304,10.2863624132
84.0391397458,1.5304,10.2863624132
84.2260652196,1.5305,10.2870345487
84.4130221388,1.5305,10.2870345487
84.5999375631,1.5305,10.2870345487
84.7869820107,1.5305,10.2870345487
84.9730672127,1.5305,10.2870345487
85.1600247802,1.5305,10.2870345487
85.34697554,1.5305,10.2870345487
85.5340293888,1.5305,10.2870345487
85.7200918982,1.5305,10.2870345487
85.9070274216,1.5305,10.2870345487
86.0940326435,1.5305,10.2870345487
86.2801081202,1.5305,10.2870345487
86.4670566107,1.5306,10.2877066843
86.6540339532,1.5306,10.2877066843
86.8409983285,1.5306,10.2877066843
87.0271068714,1.5306,10.2877066843
87.2140407739,1.5306,10.2877066843
87.4010673916,1.5306,10.2877066843
87.5879831401,1.5306,10.2877066843
87.7749831751,1.5306,10.2877066843
87.9610544374,1.5306,10.2877066843
88.1480434504,1.5306,10.2877066843
88.3502465057,1.5306,10.2877066843
88.5220010529,1.5306,10.2877066843
88.7080719911,1.5305,10.2870345487
88.8950480368,1.5305,10.2870345487
89.0820227859,1.5305,10.2870345487
89.2681323013,1.5305,10.2870345487
89.455066528,1.5305,10.2870345487
89.6420805027,1.5305,10.2870345487
89.828977773,1.5305,10.2870345487
90.0151005798,1.5305,10.2870345487
90.2021106643,1.5305,10.2870345487
90.3889768134,1.5305,10.2870345487
90.5760669702,1.5305,10.2870345487
90.7629781802,1.5305,10.2870345487
90.949059492,1.5305,10.2870345487
91.1360365103,1.5305,10.2870345487
91.3230478916,1.5305,10.2870345487
91.5099827666,1.5305,10.2870345487
91.6960760731,1.5305,10.2870345487
91.8831056084,1.5305,10.2870345487
92.0700252471,1.5305,10.2870345487
92.2561188777,1.5305,10.2870345487
92.4431114566,1.5305,10.2870345487
92.6300294744,1.5305,10.2870345487
92.8169737506,1.5305,10.2870345487
93.0030527932,1.5305,10.2870345487
93.190117664,1.5305,10.2870345487
93.3770233629,1.5304,10.2863624132
93.5640318266,1.5304,10.2863624132
93.7509958777,1.5304,10.2863624132
93.9370895084,1.5304,10.2863624132
94.124030867,1.5304,10.2863624132
94.3110367373,1.5304,10.2863624132
94.4979793926,1.5304,10.2863624132
94.6840733474,1.5304,10.2863624132
94.8710198929,1.5304,10.2863624132
95.0579437459,1.5304,10.2863624132
95.2441602404,1.5304,10.2863624132
95.4311003023,1.5303,10.2856902776
95.618023831,1.5303,10.2856902776
95.8050342398,1.5303,10.2856902776
95.9920041261,1.5303,10.2856902776
96.1781217461,1.5303,10.2856902776
96.365101682,1.5303,10.2856902776
96.5520433648,1.5303,10.2856902776
96.7389950971,1.5303,10.2856902776
96.9251584263,1.5303,10.2856902776
97.1120667186,1.5303,10.2856902776
97.2990216928,1.5303,10.2856902776
97.4859944967,1.5303,10.2856902776
97.6721066056,1.5303,10.2856902776
97.8592035701,1.5303,10.2856902776
98.0460544828,1.5303,10.2856902776
98.2329935722,1.5303,10.2856902776
98.4199929588,1.5303,10.2856902776
98.6060622761,1.5303,10.2856902776
98.7930379977,1.5303,10.2856902776
98.9799825981,1.5303,10.2856902776
99.1661255039,1.5303,10.2856902776
99.3530198566,1.5303,10.2856902776
99.540026051,1.5302,10.2850181421
99.7269819977,1.5302,10.2850181421
99.9131352773,1.5302,10.2850181421
100.100072746,1.5302,10.2850181421
100.287022533,1.5302,10.2850181421
100.473974265,1.5302,10.2850181421
100.660128193,1.5302,10.2850181421
100.847063717,1.5302,10.2850181421
101.034029713,1.5301,10.2843460065
101.220941571,1.5301,10.2843460065
101.407120137,1.5301,10.2843460065
101.594068627,1.5301,10.2843460065
101.781027816,1.5301,10.2843460065
101.967983438,1.5301,10.2843460065
102.154107866,1.5301,10.2843460065
102.341061219,1.5301,10.2843460065
102.528029161,1.5301,10.2843460065
102.71505513,1.5301,10.2843460065
102.901105645,1.5301,10.2843460065
103.088094009,1.5301,10.2843460065
103.275043148,1.5301,10.2843460065
103.461977051,1.5301,10.2843460065
103.648990701,1.5301,10.2843460065
103.835071689,1.5301,10.2843460065
104.022032174,1.5301,10.2843460065
104.209026698,1.5301,10.2843460065
104.395979727,1.5301,10.2843460065
104.582133979,1.5301,10.2843460065
104.769087333,1.5301,10.2843460065
104.955985575,1.5301,10.2843460065
105.142122322,1.5301,10.2843460065
105.329069191,1.5301,10.2843460065
105.516086084,1.5301,10.2843460065
105.702998915,1.5301,10.2843460065
105.889994735,1.5301,10.2843460065
106.076104575,1.5301,10.2843460065
106.263043988,1.5301,10.2843460065
106.449986644,1.5301,10.2843460065
