TIME,WEIGHT,POROSITY
6.48357483569e-07,0.6186,4.1578304945
0.186913033866,0.6186,4.1578304945
0.373065220224,0.6186,4.1578304945
0.560003215853,0.6186,4.1578304945
0.74698303054,0.6186,4.1578304945
0.933927509743,0.6185,4.15715835895
1.12004825076,0.6185,4.15715835895
1.30693956465,0.6185,4.15715835895
1.49394531364,0.6185,4.15715835895
1.68085802333,0.6185,4.15715835895
1.86704749024,0.6185,4.15715835895
2.05400363988,0.6185,4.15715835895
2.24094293222,0.6185,4.15715835895
2.42790102693,0.6185,4.15715835895
2.61398286651,0.6185,4.15715835895
2.80101163218,0.6185,4.15715835895
2.98797296868,0.6185,4.15715835895
3.17492490399,0.6185,4.15715835895
3.36108746407,0.6185,4.15715835895
3.54799822869,0.6185,4.15715835895
3.7349715598,0.6185,4.15715835895
3.9219205775,0.6185,4.15715835895
4.10803515913,0.6185,4.15715835895
4.29501140785,0.6185,4.15715835895
4.48196301899,0.6185,4.15715835895
4.66890782237,0.6185,4.15715835895
4.85504477233,0.6185,4.15715835895
5.04198989989,0.6185,4.15715835895
5.22898073665,0.6186,4.1578304945
5.41596962834,0.6186,4.1578304945
5.60203590733,0.6186,4.1578304945
5.78900113398,0.6186,4.1578304945
5.97596344301,0.6186,4.1578304945
6.16292996637,0.6186,4.1578304945
6.34904033367,0.6186,4.1578304945
6.53600393942,0.6186,4.1578304945
6.72295587473,0.6186,4.1578304945
6.90991818377,0.6186,4.1578304945
7.09690545457,0.6186,4.1578304945
7.2829908601,0.6186,4.1578304945
7.46997326822,0.6186,4.1578304945
7.65695502798,0.6186,4.1578304945
7.84389658957,0.6186,4.1578304945
8.0299852369,0.6186,4.1578304945
8.21697185934,0.6186,4.1578304945
8.40396042685,0.6186,4.1578304945
8.59004064553,0.6186,4.1578304945
8.77704477362,0.6186,4.1578304945
8.96400740684,0.6186,4.1578304945
9.15091752309,0.6186,4.1578304945
9.33791062911,0.6186,4.1578304945
9.52398112242,0.6186,4.1578304945
9.710962558,0.6186,4.1578304945
9.89790995482,0.6186,4.1578304945
10.0840096242,0.6186,4.1578304945
10.2710040269,0.6186,4.1578304945
10.4579569348,0.6186,4.1578304945
10.6449221614,0.6186,4.1578304945
10.8310231276,0.6186,4.1578304945
11.0179987279,0.6186,4.1578304945
11.2049451522,0.6186,4.1578304945
11.3919194558,0.6186,4.1578304945
11.5779614214,0.6186,4.1578304945
11.7650115829,0.6186,4.1578304945
11.9519638424,0.6185,4.15715835895
12.1388885467,0.6185,4.15715835895
12.3250407331,0.6185,4.15715835895
12.5120079048,0.6185,4.15715835895
12.6989303398,0.6185,4.15715835895
12.8858955665,0.6185,4.15715835895
13.0720036645,0.6185,4.15715835895
13.2588807145,0.6185,4.15715835895
13.4459201781,0.6185,4.15715835895
13.6328539594,0.6185,4.15715835895
13.8190272174,0.6185,4.15715835895
14.0059762351,0.6185,4.15715835895
14.1928902415,0.6185,4.15715835895
14.3798677869,0.6185,4.15715835895
14.5659411979,0.6185,4.15715835895
14.7530056232,0.6185,4.15715835895
14.9399342176,0.6185,4.15715835895
15.1268615154,0.6185,4.15715835895
15.3128979699,0.6185,4.15715835895
15.4999465105,0.6185,4.15715835895
15.6869007151,0.6185,4.15715835895
15.8739064641,0.6185,4.15715835895
16.0600272051,0.6185,4.15715835895
16.2469353763,0.6185,4.15715835895
16.4339168118,0.6185,4.15715835895
16.6208898188,0.6185,4.15715835895
16.807087066,0.6185,4.15715835895
16.9939783799,0.6185,4.15715835895
17.1809040567,0.6185,4.15715835895
17.3679026738,0.6185,4.15715835895
17.5540370303,0.6185,4.15715835895
17.7409442289,0.6186,4.1578304945
17.9279503021,0.6186,4.1578304945
18.1148772757,0.6186,4.1578304945
18.3009957474,0.6186,4.1578304945
18.4879674576,0.6186,4.1578304945
18.6749492174,0.6186,4.1578304945
18.8619371366,0.6187,4.15850263005
19.0480163827,0.6187,4.15850263005
19.2349420595,0.6187,4.15850263005
19.4219410008,0.6187,4.15850263005
19.6088598698,0.6188,4.15917476559
19.7950344245,0.6188,4.15917476559
19.9819973819,0.6188,4.15917476559
20.1689272731,0.6188,4.15917476559
20.3558529499,0.6188,4.15917476559
20.5428139622,0.6188,4.15917476559
20.7289729564,0.6188,4.15917476559
20.9159459633,0.6188,4.15917476559
21.1028447333,0.6188,4.15917476559
21.2898475647,0.6188,4.15917476559
21.4759514484,0.6188,4.15917476559
21.6628703175,0.6188,4.15917476559
21.8499399297,0.6188,4.15917476559
22.03599778,0.6188,4.15917476559
22.2229101655,0.6188,4.15917476559
22.4100024702,0.6189,4.15984690114
22.5968931358,0.6189,4.15984690114
22.7829613598,0.6189,4.15984690114
22.9700335655,0.6189,4.15984690114
23.1568995934,0.6189,4.15984690114
23.3438541222,0.6189,4.15984690114
23.530874135,0.6189,4.15984690114
23.716940414,0.6189,4.15984690114
23.9039857128,0.6189,4.15984690114
24.0909240326,0.6189,4.15984690114
24.2769841522,0.6189,4.15984690114
24.4639380326,0.6189,4.15984690114
24.6509330837,0.6189,4.15984690114
24.8379436953,0.6189,4.15984690114
